City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.68,71,64,2.24,NZ,1697432423
1,adamstown,-25.066,-130.1015,21.76,82,72,2.03,PN,1697432424
2,albany,42.6001,-73.9662,8.71,85,100,3.81,US,1697432196
3,grytviken,-54.2811,-36.5092,0.43,96,100,4.07,GS,1697432424
4,holualoa,19.6228,-155.9522,23.21,93,68,0.45,US,1697432425
5,mahina,-17.5065,-149.489,26.87,69,40,4.12,PF,1697432425
6,naze,28.3667,129.4833,24.51,53,0,6.34,JP,1697432426
7,lerma,42.0261,-3.7598,13.31,88,100,2.14,ES,1697432427
8,yunyang,33.4474,112.7142,25.93,36,0,2.78,CN,1697432429
9,bermejillo,25.8833,-103.6167,20.58,61,0,5.7,MX,1697432430
10,talavera,15.6167,120.9333,31.05,65,53,3.39,PH,1697432430
11,sao joao da barra,-21.6403,-41.0511,22.07,98,100,0.81,BR,1697432431
12,cockburn town,21.4612,-71.1419,28.92,66,96,2.46,TC,1697432433
13,lakatoro,-16.0999,167.4164,27.43,75,49,7.12,VU,1697432434
14,xichang,27.8964,102.2634,21.49,67,33,2.24,CN,1697432435
15,horta,38.5333,-28.6333,20.57,85,24,4.02,PT,1697432436
16,myskhako,44.6714,37.7433,16.27,80,27,2.91,RU,1697432436
17,lihue,21.9789,-159.3672,27.58,84,75,4.63,US,1697432437
18,yellowknife,62.456,-114.3525,8.01,100,75,1.03,CA,1697432437
19,georgetown,5.4112,100.3354,30.53,87,40,1.03,MY,1697432269
20,pandan,14.0453,124.1694,28.5,69,87,3.36,PH,1697432438
21,malabrigo,-29.3464,-59.9696,20.01,84,91,3.71,AR,1697432438
22,dunedin,-45.8742,170.5036,11.0,74,100,2.24,NZ,1697432439
23,sol'-iletsk,51.1631,54.9918,11.16,63,9,4.94,RU,1697432439
24,stanley,54.868,-1.6985,3.76,93,0,0.0,GB,1697432439
25,labytnangi,66.6572,66.4183,0.57,100,100,1.49,RU,1697432440
26,hermanus,-34.4187,19.2345,16.5,88,89,4.14,ZA,1697432440
27,puerto baquerizo moreno,-0.9,-89.6,23.56,83,90,5.33,EC,1697432440
28,vorgashor,67.5833,63.95,-0.17,98,100,4.69,RU,1697432441
29,ushuaia,-54.8,-68.3,4.81,65,0,7.72,AR,1697432280
30,valle de la pascua,9.2155,-66.0073,22.96,95,74,1.27,VE,1697432441
31,edinburgh of the seven seas,-37.0676,-12.3116,11.98,67,3,7.56,SH,1697432441
32,mugia,43.1041,-9.2179,18.98,87,100,9.64,ES,1697432442
33,guerrero negro,27.9769,-114.0611,20.74,84,0,4.14,MX,1697432442
34,klyuchi,52.2667,79.1667,8.75,55,37,5.23,RU,1697432442
35,qaqortoq,60.7167,-46.0333,2.12,94,100,1.33,GL,1697432443
36,avarua,-21.2078,-159.775,22.03,60,100,3.6,CK,1697432443
37,port-aux-francais,-49.35,70.2167,1.95,97,100,7.98,TF,1697432444
38,margaret river,-33.95,115.0667,25.53,36,76,6.42,AU,1697432237
